Name,Position,Line
Esteban Matus,Left-Back,DEF
Rodrigo Echeverría,Defensive Midfielder,MID
Francisco Sierralta,Centre-Back,DEF
Gabriel Suazo,Left-Back,DEF
Marcelino Núñez,Midfielder,MID
Paulo Díaz,Centre-Back,DEF
Benjamín Kuscevic,Centre-Back,DEF
Darío Osorio,Right Winger,FWD
Fabián Hormazábal,Right-Back,DEF
Felipe Loyola,Central Midfield,MID
Igor Lichnovsky,Centre-Back,DEF
Javier Altamirano,Attacking Midfielder,MID
Lucas Cepeda,Left Winger,FWD
Lucas Assadi,Attacking Midfielder,FWD
Rodrigo Ureña,Defensive Midfielder,MID
Víctor Dávila,Forward,FWD
